"ARS","Name","Bundesland","Ostdeutschland","Bev_Tausend","Abitur_Quote","OhneAbschl_Quote","Abitur_GenderGap","Erwerbstaetig_Quote","Erwerbslos_Quote","Nichterwerb_Quote","Erwerbstaetig_GenderGap","Erwerbslos_GenderGap"
"01001","Flensburg, Stadt","SH",0,92.1,43.2,6.8,-5.5,52.2,9.1,42.5,-4.4,1.7
"01002","Kiel, Landeshauptstadt","SH",0,243.4,52.1,6.4,-3.1,52.9,7.9,42.5,-2.1,0.9
"01003","Lübeck, Hansestadt","SH",0,209.1,39.8,6,-3.9,50.1,8,45.5,-1.9,1.7
"01004","Neumünster, Stadt","SH",0,77,28.9,7.8,-1.5,49.9,7.2,46.2,-4,2.4
"01051","Dithmarschen","SH",0,130.2,23.9,4.9,-0.5,49.8,6.1,46.9,-3.2,0.9
"01053","Herzogtum Lauenburg","SH",0,200.3,34.3,4.8,-2.5,51.8,6.2,44.8,-2.8,2
"01054","Nordfriesland","SH",0,165.3,28.2,4.7,-0.4,52.5,7.4,43.3,-1.9,1.1
"01055","Ostholstein","SH",0,196.5,30.1,4.1,-2.6,50.4,6.3,46.2,-1.2,0.7
"01056","Pinneberg","SH",0,315.3,38.1,5.4,-1.3,52.3,6.1,44.3,-2.5,1.1
"01057","Plön","SH",0,127.8,34.6,3,-4.5,49.8,7.2,46.4,-1,1
"01058","Rendsburg-Eckernförde","SH",0,270,35,3.7,-2.5,51.1,6.5,45.3,-2.4,1.2
"01059","Schleswig-Flensburg","SH",0,198.1,31,3.7,-0.9,50.9,7.4,45,-2.1,1.1
"01060","Segeberg","SH",0,270.6,33.5,3.8,-0.7,53.3,5.5,43.5,-2.6,1.4
"01061","Steinburg","SH",0,128.5,28.1,4.8,-2.6,52.3,5.8,44.5,-3.3,1.3
"01062","Stormarn","SH",0,238.7,42.1,3.5,-2.4,52.6,5.8,44.1,-2.1,1.3
"02000","Hamburg, Freie und Hansestadt","HH",0,1737.9,55.5,6.5,-0.8,54.6,7.2,41.1,-1.6,0.7
"03101","Braunschweig, Stadt","NI",0,247.1,51.8,6.2,-7,51.8,5.7,45,-3.6,-0.4
"03102","Salzgitter, Stadt","NI",0,102.4,27.9,11.8,-3.8,42.7,9.1,53,-5.5,-1.2
"03103","Wolfsburg, Stadt","NI",0,125,38.6,10.8,-3.4,47,7,49.4,-3.8,0.1
