souid,year,annual,winter_half_year,summer_half_year,winter_djf,spring_mam,summer_jja,autumn_son,january,february,march,april,may,june,july,august,september,october,november,december
4172,1882,8.89,4.32,13.03,2.15,8.85,15.02,9.22,1.44,3.15,6.39,8.22,11.93,14.14,16.32,14.56,12.89,9.81,4.92,2.45
4172,1883,8.43,3.74,13.2,2.83,6.15,15.59,9.21,1.95,4.23,-0.8,6.7,12.58,15.57,15.72,15.48,13.04,8.89,5.71,1.89
4172,1884,9.1,5.22,13.44,3.57,8.35,15.72,8.46,4.65,4.2,5.9,6.71,12.38,12.57,17.41,17.06,14.28,8.24,2.86,2.57
4172,1885,8.13,3.56,12.87,2.43,7.14,15.29,8.1,-0.43,5.43,2.83,9.36,9.31,15.89,16.22,13.79,12.64,7.96,3.72,0.92
4172,1886,8.54,2.26,13.76,-0.13,7.69,15.62,10.53,0.62,-2.12,2.1,8.61,12.4,13.86,16.56,16.39,14.6,10.54,6.45,1.78
4172,1887,7.46,3.27,13.11,0.39,6.14,16.5,7.14,-1.6,1.05,1.29,7.14,10.04,15.64,18.62,15.2,11.85,5.59,4.03,0.35
4172,1888,7.52,1.61,12.55,-0.64,6.57,15.04,8.16,-0.33,-2.03,1.86,5.95,11.87,15.84,14.48,14.84,12.23,7.1,5.19,2.97
4172,1889,8.1,2.5,14.23,0.4,8.52,16.6,7.95,-0.36,-1.59,1.37,7.75,16.41,18.84,15.95,15.08,11.17,9.08,3.56,-0.69
4172,1890,7.82,3.42,13.13,0.83,8.38,14.97,8.49,3.94,-0.93,5.15,6.39,13.54,13.76,15,16.1,13.8,7.81,3.89,-5.31
4172,1891,8.2,1.3,13.1,-2.48,7.22,15.32,9.69,-3.06,1.28,3.24,5.4,12.96,14.97,15.84,15.15,14.15,11.05,3.83,3.11
4172,1892,8.31,3.65,13.75,1.88,7.15,16.19,9.2,0.64,1.89,1.28,7.29,12.88,14.88,15.8,17.86,13.59,8.46,5.58,-0.62
4172,1893,8.94,2.99,14.48,-0.6,9.71,16.8,8.64,-4.43,3.66,5.44,10.45,13.27,16.1,17.27,16.99,12.65,10.53,2.67,2.33
4172,1894,8.83,3.98,13.45,1.69,9.39,15.6,8.41,0.33,2.48,5.36,11.38,11.49,13.98,17.38,15.38,10.93,8.39,5.9,2.6
4172,1895,7.86,1.86,14.25,-1.86,7.75,16.38,9.64,-2.66,-5.91,2.23,9.02,12.05,15.82,16.87,16.43,15.23,7.45,6.32,0.56
4172,1896,8.23,3.8,13,0.87,7.93,15.75,7.97,0.72,1.36,6.31,6.69,10.74,16.75,16.38,14.15,13.21,8.96,1.7,1.58
4172,1897,8.83,3.25,13.78,0.92,8.17,17.14,8.51,-1.18,2.52,5.81,7.56,11.12,17.27,16.7,17.45,12.48,8.65,4.4,2.78
4172,1898,9.25,4.18,13.59,3,7.42,15.96,9.82,4.11,2.01,2.95,8.05,11.27,15.05,14.23,18.58,14.22,9.7,5.56,4.72
4172,1899,8.76,4.99,13.43,3.86,7.13,16.43,9.59,3.47,3.35,2.99,7.43,10.97,15.15,17.25,16.86,12.76,7.92,8.15,-1.47
4172,1900,9,3.45,13.7,0.97,6.65,16.84,9.36,2.35,2.16,1.66,7.07,11.23,16.13,18.61,15.75,13.25,9.09,5.75,4.46
4172,1901,8.31,3.08,14.18,0.2,8.11,16.57,9.07,-1.12,-3.05,2.85,8.81,12.7,15.36,18.03,16.28,13.76,9.71,3.73,1.85
4172,1902,7.91,3.92,12.62,1.78,7.32,15.22,7.85,3.7,-0.43,4.56,8.78,8.68,15.63,15.49,14.55,12.53,7.57,3.47,-0.17
4172,1903,9.07,4.23,12.98,2.38,8.1,15.52,10.02,2.48,5.11,7,4.57,12.61,14.93,16.04,15.56,13.99,10.81,5.22,0.22
4172,1904,8.74,3.6,13.95,0.72,8.51,16.6,7.94,-0.15,2.18,3.3,9.64,12.63,15.17,18.49,16.08,11.47,8.42,3.9,3.54
4172,1905,8.58,4.02,13.95,1.95,8.12,17.45,7.23,-0.03,2.4,5.73,6.55,12.04,17.47,18.51,16.38,12.57,5.13,4.07,1.76
4172,1906,8.79,3.07,13.48,2.02,7.94,15.92,10.15,2.76,1.5,3.08,7.49,13.25,14.57,16.92,16.23,12.22,11.19,7,-1.27
4172,1907,8.5,3.55,12.87,-0.22,7.78,14.74,10.05,1.03,-0.43,3.52,7.11,12.68,14.42,14.04,15.76,13.11,11.86,5.13,3.07
