souid,year,annual,winter_half_year,summer_half_year,winter_djf,spring_mam,summer_jja,autumn_son,january,february,march,april,may,june,july,august,september,october,november,december
4897,1939,7.65,3.05,12.82,0.72,5.96,15.89,7.77,2.54,1.56,1.18,7.33,9.41,15.44,15.86,16.34,12.44,5.45,5.5,-1.55
4897,1940,6.08,0.24,11.98,-4.06,6.91,14.22,7.61,-8,-2.54,2.58,7.08,11.06,15.17,14.54,12.96,10.97,7.1,4.78,-2.85
4897,1941,6.67,1.13,11.88,-2.79,5.11,15.67,7.08,-5.09,-0.19,2.99,4.6,7.72,15.85,17.79,13.39,11.81,7.35,2.06,1.35
4897,1942,6.86,-0.1,12.8,-4.16,6.63,14.9,9.34,-7.94,-6.08,2.15,6.78,10.95,13.23,14.5,16.92,14.3,10.85,2.82,2.93
4897,1943,8.36,4.19,13.12,2.04,8.52,15.25,8.44,0.66,2.59,5.11,8.29,12.15,12.67,16.56,16.45,12.39,10.29,2.57,0.07
4897,1944,7.48,2.21,12.9,0.18,6.01,15.77,7.7,2.69,-2.39,-0.27,7.96,10.42,12.68,15.96,18.55,11.6,7.92,3.57,0.67
4897,1945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4897,1946,7.68,NA,13.42,NA,8.23,15.2,8.21,-1.34,1.47,2.9,9.38,12.45,13.17,17.03,15.08,13.24,7.08,4.36,-2.29
4897,1947,8.32,0.32,15.5,-4.18,8.37,18,9.7,-3.7,-6.81,2.73,8.41,13.96,17.31,18.2,18.45,16.49,8.17,4.49,1.13
4897,1948,8.66,3.86,13.17,1.51,8.91,15.03,8.57,3.12,0.19,5.87,8.77,12.09,14.8,15.05,15.24,12.99,8.08,4.67,2.71
4897,1949,8.54,3.38,13.59,2.01,7.29,14.89,10.02,1.43,1.89,1.39,9.57,10.99,12.66,16.17,15.75,16.32,10.4,3.34,2.25
4897,1950,7.89,3.83,13.26,1.56,7.43,16.56,7.63,-0.69,3.29,4.35,5.32,12.56,16.65,16.42,16.6,11.79,7.27,3.85,-2.93
4897,1951,8.2,2.23,12.68,0.2,5.94,15.24,9.37,1.83,1.85,1.55,5.74,10.52,13.97,15.95,15.76,14,7.62,6.56,2.74
4897,1952,7.13,3.1,12.97,0.5,8.19,15.63,5.28,-0.42,-0.92,2.88,9.92,11.82,13.83,16.57,16.42,9.08,6.1,0.62,-0.75
4897,1953,8.34,1.48,12.86,-1.04,8.23,15.01,9.37,-1.51,-0.83,5.01,7.93,11.73,14.53,15.37,15.11,12.38,10.23,5.46,4.06
4897,1954,6.97,3,11.44,-0.71,6.61,13.6,8.69,-3.96,-2.39,4.17,4.51,11.07,14.25,12.11,14.45,12.13,9.41,4.5,2.73
4897,1955,6.73,2.04,11.96,-0.42,4.74,14.81,7.79,-1.33,-2.89,-0.58,6.13,8.72,13.32,15.66,15.4,12.41,7.1,3.88,2.33
4897,1956,6.03,1.01,11.24,-2.55,6,13.02,7.51,-0.75,-9.7,2.63,3.83,11.46,11.14,15.44,12.43,12.95,7.35,2.23,2.49
4897,1957,7.84,3.69,11.77,2,7.11,15.02,7.77,0.45,3.18,6.33,6.64,8.35,15.33,16.25,13.48,10.5,8.98,3.79,0.55
4897,1958,7.32,2.16,12.32,0.54,4.72,14.73,8.56,-0.27,1.43,-1.54,4.05,11.63,13,15.2,15.92,13.93,8.56,3.19,2.28
4897,1959,8.39,3.47,13.22,1.03,8.35,15.85,8.25,-0.32,1.15,5.73,8.66,10.67,14.29,17.47,15.73,12.37,8.69,3.67,2.04
4897,1960,7.52,3.21,11.69,0.99,7.08,13.83,8.62,-0.24,1.18,3.83,6.28,11.12,13.91,13.64,13.95,11.11,8.95,5.81,0.49
4897,1961,8.11,4.07,12.44,1.48,7.47,13.72,9.83,-0.44,4.7,5.05,9.41,8.02,13.94,12.97,14.24,16.15,10.14,3.18,-0.08
4897,1962,5.93,2.16,10.7,0.26,4.23,12.89,7.21,1.29,-0.49,-1.33,6.49,7.6,11.92,12.98,13.73,11.37,8.45,1.78,-3.01
4897,1963,6.22,-0.56,12.15,-5.5,6.64,14.32,9.09,-8.44,-5.02,2.5,7.5,9.94,13.82,15.25,13.87,12.41,7.67,7.23,-2.68
4897,1964,7.35,1.97,12.96,-0.96,6.42,15.05,7.74,-1.23,1.16,-0.2,7.14,12.35,14.87,15.95,14.33,13.01,6.2,4.07,0.52
4897,1965,6.32,1.74,11.11,-0.4,5.52,13.29,6.38,0.54,-2.46,1.26,5.35,9.94,13.78,12.9,13.21,11.39,6.9,0.84,1.48
4897,1966,7.67,2.19,12.52,1.07,7.32,14.41,7.97,-2.35,4.42,2.01,7.99,11.98,15.29,13.66,14.3,11.83,10.35,1.63,0.82
4897,1967,7.92,3.38,12.44,1.32,6.78,15.18,8.7,0.97,2.26,4.06,4.86,11.35,13.05,17.51,14.92,12.74,10.14,3.19,-0.5
4897,1968,7.1,2.25,12.33,-1.06,6.9,14.64,8.42,-1.76,-0.92,3.18,8.2,9.35,14.21,14.76,14.92,12.49,9.55,3.19,-2.22
4897,1969,7.15,1.67,12.69,-0.94,5.89,15.34,8.79,1.78,-2.55,-0.1,5.84,11.93,13.36,17.38,15.22,12.19,10.29,3.86,-4.09
4897,1970,6.86,1.19,11.96,-2.43,4.76,15,8.68,-1.21,-1.94,0.03,3.62,10.6,15.54,14.06,15.43,12.35,8.05,5.67,-0.45
4897,1971,7.59,2.4,12.72,0.26,6.68,15.06,7.09,0.72,0.53,-0.19,7.16,13.08,12.41,16.43,16.25,10.76,8.12,2.36,2.83
4897,1972,7.03,3.06,11.25,1.18,6.44,14.29,6.42,-2,2.81,4.17,5.51,9.6,12.66,16.15,13.99,9.38,6.56,3.32,1.97
4897,1973,7.4,2.53,12.63,0.77,5.87,15.91,7.57,0.18,0.09,2.86,3.49,11.17,15.12,15.65,16.93,13.24,6.77,2.72,0.04
4897,1974,7.7,3.31,11.61,1.85,7.15,13.71,6.6,3.23,2.33,4.65,7.21,9.61,12.42,13.16,15.5,11.65,3.78,4.45,4.08
4897,1975,7.93,3.48,12.81,3.38,5.88,15.85,7.83,4.17,1.73,2.55,5.42,9.66,12.71,16.67,18.08,14.11,6.61,2.8,0.2
4897,1976,NA,1.92,NA,0.51,NA,16.38,8.41,0.54,0.8,0.52,NA,NA,16.05,17.96,15.12,11.64,9.51,4.05,-1.49
4897,1977,7.7,3.3,11.21,0.19,6.44,14.17,8.41,-0.05,2.3,5.38,3.89,9.96,13.32,14.7,14.45,10.76,10.63,3.76,2.85
4897,1978,6.84,3.29,11.05,0.43,6.48,13.29,8,-0.09,-1.68,3.81,5.39,10.22,12.95,13.62,13.28,10.69,9.02,4.25,0
4897,1979,6.66,1.36,11.66,-2.52,6.01,14,7.97,-4.96,-2.59,2.15,5.13,10.71,14.86,13.55,13.61,12.01,8.92,2.95,2.92
4897,1980,6.78,2.9,11.65,0.94,5.7,13.92,7.43,-2.35,2.36,2.55,4.99,9.55,12.98,13.47,15.27,13.51,6.89,1.9,0.12
4897,1981,7.1,2.03,12.41,-1.02,8.26,14.15,7.71,-1.38,-1.86,6.12,6.73,11.88,13.26,14.44,14.73,13.26,6.5,3.42,-2.47
4897,1982,8.32,1.88,13.27,-0.66,6.61,15.88,10.04,-0.22,0.87,3.12,5.38,11.28,14.59,17.41,15.61,15.18,9.04,5.93,1.13
4897,1983,8.17,3.4,13.3,0.61,6.68,16.89,8.21,3.07,-2.69,3.4,7.31,9.36,14.85,19.07,16.67,12.36,8.13,4.13,1.45
4897,1984,7.1,2.36,11.2,0.2,5.18,13.92,9.02,0.06,-0.98,1.2,5.61,8.74,11.68,14.18,15.81,11.04,9.59,6.42,1.58
4897,1985,6.39,1.88,11.88,-2.32,6.65,13.67,6.72,-5.45,-3.16,1.95,6.08,11.91,11.48,15.45,14.01,12.18,8.35,-0.41,3.49
