souid,year,annual,winter_half_year,summer_half_year,winter_djf,spring_mam,summer_jja,autumn_son,january,february,march,april,may,june,july,august,september,october,november,december
4021,1952,9,4.83,14.58,2.55,9.85,17.25,7.36,1.62,1.54,4.91,11.12,13.57,15.78,18.28,17.63,10.91,8.3,2.85,1.18
4021,1953,10.05,3.27,14.73,1.08,9.62,16.83,11.03,0.77,1.33,5,9.62,14.25,16.39,17.28,16.82,13.9,11.76,7.41,5.42
4021,1954,9.22,5.05,13.53,1.51,9.06,15.45,10.84,-1.29,0.27,6.36,7.28,13.47,15.81,14.62,15.92,13.97,11.72,6.81,5.09
4021,1955,8.9,4.4,14.12,1.87,7.17,16.99,9.65,0.6,-0.27,2.06,8.67,10.82,15.46,18.16,17.31,14.16,8.81,6.01,4.36
4021,1956,8.17,3.2,13.18,-0.36,8.36,14.9,9.41,1.71,-7.63,5.36,6.18,13.47,13.22,17.08,14.35,14.58,9.32,4.35,5.17
4021,1957,9.86,5.97,13.72,4.56,9.09,16.92,9.68,2.94,5.68,8.31,8.66,10.3,17.07,18.1,15.6,12.51,10.54,5.97,2.39
4021,1958,9.41,4.39,14.21,2.88,6.9,16.59,10.45,2.28,4.08,1.11,6.37,13.21,15.3,16.9,17.52,15.78,10.4,5.18,4.42
4021,1959,10.25,5.14,15.35,2.55,10.37,18.08,9.78,1.73,1.38,7.35,10.55,13.2,17.01,19.65,17.54,14,9.88,5.47,4.52
4021,1960,9.65,5.25,13.78,3.3,9.54,15.82,10.47,2.06,3.32,6.13,9.06,13.4,16.33,15.4,15.75,12.62,10.84,7.93,2.72
4021,1961,9.97,6.15,14.35,3.59,9.53,15.73,11.21,1.8,6.53,7.17,10.73,10.73,16.13,15.05,16.02,17.47,11.42,4.75,1.84
4021,1962,8.4,4.29,13.1,2.58,7.01,15.31,9.36,3.59,2.27,1.7,9.04,10.34,15.07,15.17,15.67,13.22,10.6,4.23,-0.48
4021,1963,8.49,1.89,14.45,-3.13,9.25,16.73,11.05,-5.98,-2.91,5.49,9.95,12.32,16.3,17.77,16.12,14.17,9.74,9.29,-1
4021,1964,9.72,4.12,15.54,0.97,9.16,17.65,9.8,0.33,3.75,2.74,9.64,15.12,17.4,18.61,16.92,15.44,8.03,5.99,2.61
4021,1965,8.92,4.2,13.48,2.06,8.43,15.58,8.84,2.79,0.65,4.81,7.85,12.6,16.1,15.13,15.55,13.58,10.09,2.81,4.38
4021,1966,9.93,4.69,14.72,3.42,9.69,16.59,10.09,0.15,5.98,4.78,10.04,14.27,17.53,15.86,16.41,14.15,11.99,4.07,3.72
4021,1967,10.37,5.9,14.79,4.11,9.35,17.5,10.86,3.67,5.03,6.75,7.62,13.63,15.51,19.75,17.17,14.83,12.42,5.28,2.26
4021,1968,9.8,4.99,14.96,1.87,9.86,17.15,10.89,1.57,1.77,6.41,11.24,11.97,16.51,17.45,17.49,15.02,12.25,5.35,0.3
4021,1969,9.79,4.24,15.28,1.69,8.5,17.85,11.64,4.55,0.07,2.56,8.81,14.14,15.88,19.74,17.85,15.04,13.09,6.73,-1.66
4021,1970,9.67,3.97,14.83,0.19,7.78,17.83,11.4,1.46,0.83,3.15,6.52,13.64,18.37,16.87,18.27,15.18,10.53,8.53,2.13
4021,1971,10.25,5.17,15.17,3.04,9.29,17.41,9.9,3.29,3.75,2.78,9.52,15.57,14.96,18.94,18.25,13.56,10.94,5.18,5.74
4021,1972,9.61,5.84,13.76,3.79,9.34,16.64,9.04,0.67,5.06,7.41,8.07,12.52,14.82,18.67,16.38,11.91,9.17,6.04,4.36
4021,1973,10.04,5.19,15.2,3.25,8.66,18.47,10.06,2.6,2.75,6,6.57,13.34,17.75,18.2,19.45,15.72,8.91,5.61,3.04
4021,1974,10.33,5.91,14.25,4.63,9.72,16.38,9.13,5.96,4.91,6.94,9.97,12.26,15.51,15.65,17.96,14.07,6.59,6.82,6.95
4021,1975,NA,6.09,15.39,6.01,8.48,18.56,NA,6.84,4.05,5.11,8.19,12.13,15.62,19.12,20.84,16.27,NA,NA,2.71
4021,1976,10.37,NA,15.81,3.16,8.63,19.28,10.81,3.43,3.37,3.24,8.38,14.27,19.19,20.61,18.05,14.16,11.58,6.66,1.27
4021,1977,10.12,5.88,13.59,3.05,8.81,16.52,10.76,2.79,5.31,7.65,6.76,11.94,15.61,17.35,16.55,13.17,12.45,6.61,4.84
4021,1978,9.33,5.74,13.69,2.84,9.08,15.9,10.37,2.8,0.68,6.58,7.88,12.73,15.53,16.19,15.98,13.71,11.19,6.17,1.91
4021,1979,9.07,3.5,14.11,-0.49,8.6,16.47,10.25,-2.8,-0.6,4.84,7.88,13.06,16.71,16.56,16.16,14.18,10.79,5.76,5.62
4021,1980,9.39,5.38,14.23,3.5,8.44,16.45,9.92,0.17,4.79,5.14,7.93,12.23,15.43,16.02,17.87,15.78,9.35,4.64,3.26
