souid,year,annual,winter_half_year,summer_half_year,winter_djf,spring_mam,summer_jja,autumn_son,january,february,march,april,may,june,july,august,september,october,november,december
4030,1953,11.1,4.26,15.78,2.1,10.77,17.78,12.13,1.57,2.69,6.22,10.89,15.2,17.25,18.24,17.85,15.11,12.93,8.32,6.4
4030,1954,10.18,6.05,14.54,2.45,10.07,16.51,11.7,-0.2,1,7.45,8.33,14.38,16.86,15.54,17.14,14.88,12.6,7.59,5.99
4030,1955,9.98,5.33,15.31,2.84,8.22,18.25,10.69,1.37,0.96,3.1,9.94,11.68,16.33,19.28,19.06,15.42,9.93,6.75,5.34
4030,1956,9.24,4.34,14.13,0.87,9.36,15.81,10.6,2.65,-5.82,6.6,7.06,14.33,14.16,17.96,15.24,15.83,10.45,5.53,6.04
4030,1957,11.05,7.04,15.03,5.41,10.54,18.19,10.8,3.77,6.54,9.85,10.04,11.72,18.43,19.34,16.81,13.72,11.79,6.87,3.47
4030,1958,10.59,5.52,15.45,3.73,8.34,17.8,11.7,2.95,4.87,3.13,7.57,14.3,16.4,18.08,18.88,17.31,11.57,6.24,5.4
4030,1959,11.84,6.27,17.17,3.55,11.88,19.7,12.06,2.53,2.64,8.89,11.88,14.85,18.25,21.23,19.57,17.1,12.55,6.52,5.38
4030,1960,10.98,6.58,15.37,4.27,10.95,17.35,11.82,3.04,4.41,7.46,10.41,14.97,18.1,16.67,17.3,14.66,12,8.79,3.76
4030,1961,11.35,7.22,15.88,4.58,10.96,17.28,12.7,2.61,7.66,8.61,12.17,12.15,17.48,16.74,17.64,19.15,13,5.94,2.99
4030,1962,9.32,5.45,14,3.54,7.84,16.35,10.33,4.45,3.12,3,9.56,11.02,15.92,16.07,17.04,14.35,11.58,5.01,0.34
4030,1963,9.5,2.92,15.45,-1.92,10.06,17.77,11.99,-4.52,-1.55,6.32,10.87,13.02,17.44,18.84,17.04,15.42,10.67,9.91,-0.06
4030,1964,10.74,5.06,16.57,1.93,10.36,18.62,10.82,1.25,4.78,3.96,10.62,16.52,18.2,19.54,18.11,16.26,9.09,7.18,3.33
4030,1965,10,5.2,14.57,2.98,9.43,16.76,10.01,3.57,1.96,5.85,8.92,13.52,17.18,16.16,16.95,14.6,11.37,4.01,5.26
4030,1966,10.87,5.69,15.71,4.31,10.51,17.73,10.94,1.05,6.86,5.65,10.69,15.2,18.72,17.09,17.43,15.06,12.72,4.99,4.8
4030,1967,11.33,6.8,15.83,5.07,10.31,18.62,11.73,4.51,5.99,7.63,8.68,14.57,16.48,20.84,18.46,15.74,13.23,6.15,3.24
4030,1968,10.64,5.91,15.74,2.89,10.61,18.03,11.65,2.57,2.87,7.24,11.86,12.77,17.46,18.38,18.22,15.68,13.1,6.1,1.25
4030,1969,10.68,5.11,16.18,2.47,9.45,18.79,12.47,5.08,0.94,3.84,9.61,14.91,16.94,20.55,18.81,16.05,13.85,7.46,-0.61
4030,1970,10.57,4.86,15.76,1.19,8.74,18.76,12.16,2.28,1.96,4.03,7.38,14.76,19.51,17.74,19.05,15.94,11.61,8.95,3.1
4030,1971,11.03,5.93,16.07,3.76,10.15,18.31,10.64,3.65,4.61,3.64,10.45,16.37,15.94,19.86,19.05,14.52,11.54,5.83,6.36
4030,1972,10.43,6.56,14.67,4.5,10.32,17.44,9.94,1.54,5.67,8.34,9.07,13.52,15.78,19.18,17.32,12.98,10.26,6.56,4.75
4030,1973,10.95,5.98,16.14,4.02,9.56,19.43,10.99,3.56,3.73,6.84,7.47,14.3,18.71,19.1,20.44,16.61,10.15,6.23,3.7
