souid,year,annual,winter_half_year,summer_half_year,winter_djf,spring_mam,summer_jja,autumn_son,january,february,march,april,may,june,july,august,september,october,november,december
4074,1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4074,1938,9.87,NA,14.01,NA,8.68,17.03,11.31,3.69,2.97,8.54,6.11,11.31,16.26,16.72,18.1,15.42,9.67,8.9,0.34
4074,1939,9.79,5.23,14.85,2.91,8.58,17.53,9.92,4.56,3.94,3.94,9.61,12.24,17.12,17.16,18.3,14.59,7.65,7.59,0.57
4074,1940,8.25,2.44,14.12,-1.93,9.3,16.28,9.65,-5.75,-0.53,5.1,9.19,13.6,17.33,16.2,15.33,12.99,9.18,6.79,-0.55
4074,1941,8.81,3.34,13.9,-0.49,7.44,17.31,9.4,-2.44,1.75,5.29,7.04,9.98,17.42,19.46,15.05,14.34,9.45,4.43,3.54
4074,1942,8.68,2.04,14.62,-2.06,8.71,16.67,10.9,-5.55,-4.39,4.2,9.39,12.55,15.34,16.12,18.5,15.69,12.26,4.69,4.43
4074,1943,10.09,5.96,14.92,3.75,10.68,16.83,10.05,2.87,3.95,7.31,10.64,14.09,14.38,18.12,17.9,14.19,11.51,4.41,1.26
4074,1944,9.38,4.2,14.62,2.26,8.32,17.21,9.37,4.86,0.53,2.38,10.25,12.39,14.16,17.09,20.28,13.34,9.35,5.43,2.12
4074,1945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4074,1946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4074,1947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4074,1948,10.51,NA,14.86,NA,10.84,16.7,10.3,5.43,2.51,8.17,10.42,13.9,16.12,16.98,16.97,14.69,9.89,6.33,4.38
4074,1949,10.52,5.46,15.39,4.09,9.29,16.81,11.91,3.76,4.12,4.17,11.37,12.38,14.77,18.03,17.57,18.14,12.13,5.43,4.01
4074,1950,9.79,5.9,14.95,3.64,9.38,18.27,9.48,1.49,5.63,6.67,7.6,13.81,18.35,18.14,18.32,13.31,9.34,5.81,-1.19
4074,1951,10.01,4.28,14.36,2.19,8.02,16.72,11,3.89,4.06,3.78,7.72,12.56,15.58,17.42,17.11,15.66,9,8.41,4.62
4074,1952,9.13,5.16,14.76,2.75,10.31,17.23,7.3,1.79,1.78,5.23,11.94,13.82,15.71,18.12,17.81,11,8.12,2.75,1.14
4074,1953,10.18,3.36,14.76,1.12,9.93,16.64,11.32,0.6,1.68,5.71,9.9,14.18,16.19,16.83,16.89,14.44,12.15,7.35,5.67
4074,1954,9.18,5.16,13.5,1.58,9.11,15.39,10.77,-1.23,0.15,6.47,7.39,13.41,15.62,14.41,16.15,13.88,11.66,6.75,4.88
4074,1955,9.01,4.35,14.3,1.83,7.15,17.22,9.85,0.55,-0.11,2.03,8.88,10.6,15.36,18.26,17.97,14.58,8.94,6.05,4.37
4074,1956,8.21,3.41,13.07,-0.13,8.44,14.58,9.65,1.71,-6.91,5.73,6.13,13.38,12.84,16.72,14.15,15.06,9.39,4.5,5.04
4074,1957,10,6.04,13.97,4.42,9.55,17.11,9.69,2.78,5.55,8.87,9.17,10.59,17.38,18.14,15.81,12.64,10.58,5.81,2.44
4074,1958,9.48,4.43,14.32,2.71,7.21,16.6,10.64,1.95,3.85,1.93,6.49,13.19,15.18,16.86,17.71,16.34,10.39,5.2,4.33
4074,1959,10.83,5.25,16.05,2.59,10.84,18.43,11.22,1.55,1.82,7.88,10.68,13.96,16.87,20.1,18.28,16.3,11.75,5.57,4.47
4074,1960,9.83,5.64,14.13,3.3,9.91,15.95,10.72,2.04,3.38,6.49,9.18,14.05,16.61,15.25,16,13.57,10.91,7.67,2.61
4074,1961,10.25,6.17,14.64,3.59,9.84,15.94,11.69,1.61,6.85,7.5,11.11,10.95,16.18,15.31,16.33,17.99,11.97,5.12,2.04
4074,1962,8.23,4.43,12.84,2.46,6.82,15.07,9.26,3.34,1.96,1.92,8.7,9.89,14.63,15,15.57,13.2,10.47,4.09,-0.35
4074,1963,8.32,1.92,14.16,-2.89,8.93,16.37,10.88,-5.76,-2.51,5.2,9.75,11.86,15.89,17.48,15.71,14.19,9.48,9.03,-1.04
4074,1964,9.58,4.06,15.27,0.98,9.1,17.24,9.79,0.35,3.82,2.85,9.5,14.95,16.53,18.23,16.94,15.3,8.08,6.03,2.34
4074,1965,8.87,4.08,13.35,1.85,8.22,15.48,9.17,2.47,0.62,4.67,7.67,12.29,16.05,14.77,15.64,13.57,10.82,3.07,4.16
4074,1966,9.8,4.77,14.57,3.34,9.41,16.4,10.12,0.11,6,4.49,9.65,14.08,17.33,15.66,16.23,14.39,11.86,4.05,3.6
4074,1967,10.1,5.7,14.54,3.87,9.06,17.28,10.62,3.3,4.81,6.45,7.53,13.15,15.21,19.45,17.1,14.57,11.99,5.27,1.92
4074,1968,9.42,4.73,14.42,1.66,9.35,16.6,10.55,1.43,1.64,5.98,10.72,11.38,15.82,16.93,17.03,14.54,11.97,5.08,0.23
4074,1969,9.46,4.02,14.8,1.4,8.19,17.27,11.51,4.08,-0.28,2.65,8.46,13.47,15.32,19.06,17.35,14.98,13.23,6.26,-1.71
4074,1970,9.32,3.81,14.39,0.12,7.35,17.34,11.09,1.35,0.78,2.74,5.93,13.33,18.01,16.21,17.82,14.92,10.36,8,1.88
4074,1971,9.96,4.84,14.91,2.69,9.04,16.95,9.82,3.02,3.23,2.48,9.47,15.18,14.46,18.58,17.72,13.79,10.9,4.73,5.41
4074,1972,9.25,5.63,13.27,3.52,9.01,16.03,8.8,0.54,4.68,7.44,7.66,11.88,14.2,17.9,15.95,11.81,9.25,5.33,4.15
4074,1973,9.68,4.89,14.79,2.99,8.24,18,9.92,2.43,2.34,5.63,6.04,12.97,17.34,17.59,19.05,15.57,9.14,5.08,2.48
4074,1974,9.98,5.54,13.95,4.13,9.47,16.09,8.75,5.36,4.59,6.47,9.99,11.97,15.11,15.5,17.62,13.42,6.5,6.42,6.45
4074,1975,10.18,5.76,15.09,5.68,8.07,18.25,9.99,6.26,4.18,4.62,7.82,11.77,15.19,18.88,20.57,16.1,8.75,5.17,2.39
4074,1976,10.18,4.35,15.65,2.96,8.5,19.11,10.57,3.3,3.2,3.22,8.19,14.08,18.9,20.38,18.03,14.16,11.3,6.24,0.93
4074,1977,9.9,5.58,13.41,2.78,8.64,16.23,10.47,2.55,5.08,7.37,6.4,12.06,15.07,17.08,16.5,13.13,12.2,6.02,4.91
4074,1978,9.09,5.48,13.38,2.77,8.91,15.51,9.92,2.48,0.73,6.11,7.83,12.76,15.17,15.85,15.51,13.04,11.03,5.66,2.25
4074,1979,8.82,3.35,13.79,-0.48,8.34,16.05,10.22,-3.05,-0.67,4.56,7.78,12.65,16.24,16.2,15.71,14.07,11.31,5.24,5.17
4074,1980,9.18,5.3,14.05,3.42,8.4,16.08,9.61,0.16,5.02,4.88,7.97,12.32,14.93,15.74,17.55,15.7,9.02,4.15,2.7
4074,1981,9.38,4.5,14.5,1.69,10.42,16.35,9.82,1.13,1.18,8.47,9.06,13.68,15.09,16.86,17.06,15.12,8.48,5.9,-0.05
4074,1982,10.48,4.14,15.43,1.54,9.11,17.9,12.07,1.69,3.13,5.66,8.11,13.52,16.65,19.54,17.48,17.13,11.1,8,3.28
4074,1983,10.4,5.63,15.49,3,8.69,19.3,10.31,5.48,-0.06,5.53,9.39,11.17,17.15,21.41,19.29,14.33,10.44,6.15,3.7
4074,1984,9.51,4.9,13.52,2.86,7.76,16.21,11.07,2.8,2.03,4.11,8.41,10.78,13.95,16.27,18.35,13.19,11.55,8.47,3.97
4074,1985,8.59,4.07,14.14,-0.02,9.02,15.8,8.85,-3.46,-0.62,4.2,8.83,14.04,13.54,17.66,16.12,14.46,10.15,1.9,5.47
4074,1986,9.19,3.37,13.98,1.09,8.51,17.01,10.46,1.81,-4.56,4.66,6.32,14.49,16.77,17.79,16.47,11.81,11.78,7.76,4.03
4074,1987,8.78,3.92,14.08,0.64,7.82,15.81,10.76,-3.96,1.99,1.88,11.42,10.28,14.13,17.05,16.19,15.36,11.17,5.74,3.85
4074,1988,10.23,5.74,14.49,4.41,9.61,16.2,10.07,5.75,3.56,4.25,9.31,15.25,15.13,16.28,17.16,13.66,10.95,5.56,5.59
4074,1989,11.02,6.67,15.15,4.94,10.42,17.48,11.21,4.46,4.74,8.49,7.12,15.55,16.16,18.44,17.8,15.64,12.13,5.85,5.28
4074,1990,10.78,7.26,14.67,5.71,10.57,17.36,10.19,4.58,7.44,8.24,8.51,14.91,15.16,17.35,19.49,12.36,12.37,5.76,2.82
4074,1991,9.79,5.51,14.44,1.88,9.38,17.14,10.5,3.05,-0.46,8.93,8.65,10.55,13.03,19.62,18.63,15.97,10.07,5.48,3.13
4074,1992,10.54,5.39,15.79,3.37,10.51,18.35,9.68,2.31,4.74,6.58,8.88,16.03,17.37,19.06,18.58,14.59,7.43,7.1,3.66
4074,1993,9.84,5.07,14.96,3.19,11.05,16.49,8.19,4.74,0.94,6.22,11.79,15.16,16.88,16.71,15.88,13.24,8.99,2.31,4.45
4074,1994,10.95,4.98,15.44,3.66,9.72,19.09,10.9,4.44,1.94,7.39,8.72,13.02,16.19,22.69,18.29,13.5,9.53,9.71,5.3
4074,1995,10.52,6.25,15.6,4.53,9.25,18.94,11.09,2.57,5.86,4.61,9.38,13.75,15.08,21.34,20.28,13.5,13.47,6.21,-0.24
4074,1996,8.56,3.79,14.01,-0.09,8.17,16.79,9.34,-0.02,-0.02,3.16,10.22,11.19,16.27,16.5,17.58,12.19,10.69,5.1,-0.38
4074,1997,10.32,4.72,15.17,1.38,9.74,18.32,10.08,-0.95,5.91,8.04,8.05,13.07,16.16,17.66,21.05,14.8,9.34,6.14,4.28
4074,1998,10.16,6.22,14.7,4.89,10.47,16.4,8.96,4.15,6.4,7.05,9.02,15.3,15.95,16.11,17.12,14.52,9.09,3.28,3.6
4074,1999,10.96,5.14,16.17,3.63,10.75,17.96,11.31,4.83,2.32,7.41,10.18,14.64,15.93,20.07,17.83,18.22,10.25,5.49,3.76
4074,2000,10.97,5.77,15.41,4.13,10.94,16.79,11.5,3.48,5.21,6.39,11.08,15.35,17.09,15.18,18.1,15.59,11.15,7.76,5.15
4074,2001,10.23,6.11,14.72,4.13,9.32,17.66,10.79,2.91,4.35,5.21,7.93,14.78,14.86,18.73,19.31,12.38,14.34,5.52,1.91
